,name,id,content,retweets
134,MULA Marcella,@marcellamula,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
135,‎CHAKIRI,‏@gallet81127917,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",2
136,Resistance75,‏@resistance75,"#Hollande, #Hidalgo, enfant caché et censure de Twitter  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
137,MICHALIK,@MICHALIK8,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
138,clamajakri,@clamajakri,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
139,Jean Land,‏@JeanLand76,"Fils caché, compagne non divorcée : François Hollande victime des rumeurs ??? | Atlantico http://po.st/DnNcuC  via @po_st",0
140,Sirven Voltaire,‏@SirvenV,"IL Y A UN AN... ÇA COMMENÇAIT PLUTÔT MAL POUR FRANÇOIS HOLLANDE !!! Fils caché, compagne non divorcée... Toutes... http://fb.me/267u5oVbg",0
141,JohnDeJoigny,‏@JohndeJoigny,"Hollande, Hidalgo, enfant caché et censure de Twitter ?http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
142,MONBONHEUR,‏@MONBONHEUR1,"RT ILS SONT FOU Plus aucune limite à la censure Socialiste http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ … BIENTOT "" Ecoutes"" des conversations privés des FRANCAIS",0
143,val la raleuse,‏@val_blanche,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
144,alain salloum,@simplythe13,La censure!! http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …,0
145,Annabelle Dorego,@AnabeladoRego,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
146,IMUSLIM,‏@MUSLIMFORT,"Fils caché, compagne non divorcée.Toutes les réponses aux rumeurs sur  Hollande En savoir plus  http://www.atlantico.fr/decryptage/francois-hollande-rumeurs-internet-fils-cache-anne-hidalgo-compagne-non-divorcee-philippe-aldrin-jean-vigreux-443772.html …",0
